ccode,name,isic3rev2,isicnames,ID_elast,ID_elast_se
"ALB","ALBANIA","311","Food products",-1.058002,.0179984
"ALB","ALBANIA","313","Beverages",-1.381498,.2169229
"ALB","ALBANIA","314","Tobacco",-1.003672,.0101139
"ALB","ALBANIA","321","Textiles",-1.155865,.1205921
"ALB","ALBANIA","322","Wearing apparel  except footwear",-1.006082,.0432356
"ALB","ALBANIA","323","Leather products",-1.019256,.0121611
"ALB","ALBANIA","324","Footwear  except rubber or plastic",-.683801,.4644262
"ALB","ALBANIA","331","Wood products  except furniture",-.8784576,.1424681
"ALB","ALBANIA","332","Furniture  except metal",-1.00237,.0051241
"ALB","ALBANIA","341","Paper and products",-1.284457,.2211279
"ALB","ALBANIA","342","Printing and publishing",-1.333809,.7036504
"ALB","ALBANIA","351","Industrial chemicals",-1.014796,.0153437
"ALB","ALBANIA","352","Other chemicals",-1.006582,.0102939
"ALB","ALBANIA","353","Petroleum refineries",-.8755969,.1827075
"ALB","ALBANIA","354","Miscellaneous petroleum and coal products",-1.006252,.0215645
"ALB","ALBANIA","355","Rubber products",-1.051228,.1132659
"ALB","ALBANIA","356","Plastic products",-.9831464,.0572177
"ALB","ALBANIA","361","Pottery  china  earthenware",-.9549922,.0790392
"ALB","ALBANIA","362","Glass and products",-1.005778,.0066129
"ALB","ALBANIA","369","Other non-metallic mineral products",-.9915324,.0384206
"ALB","ALBANIA","371","Iron and steel",-1.010098,.0181368
"ALB","ALBANIA","372","Non-ferrous metals",-1.010601,.0259967
"ALB","ALBANIA","381","Fabricated metal products",-.9811059,.0412144
"ALB","ALBANIA","382","Machinery  except electrical",-.976008,.0561983
"ALB","ALBANIA","383","Machinery  electric",-1.554125,.6548689
"ALB","ALBANIA","384","Transport equipment",-1.007965,.0104105
"ALB","ALBANIA","385","Professional and scientific equipment",-.9612836,.0237498
"ALB","ALBANIA","390","Other manufactured products",-1.043176,.0406561
"ARE","UNTD ARAB EM","311","Food products",-1.096497,.0744141
"ARE","UNTD ARAB EM","313","Beverages",-1.700093,.3959388
"ARE","UNTD ARAB EM","314","Tobacco",-1.000513,.0249012
"ARE","UNTD ARAB EM","321","Textiles",-6.782624,4.807734
"ARE","UNTD ARAB EM","322","Wearing apparel  except footwear",-.5236843,2.072468
"ARE","UNTD ARAB EM","323","Leather products",-2.559091,12.17532
"ARE","UNTD ARAB EM","341","Paper and products",-1.698443,.5422449
"ARE","UNTD ARAB EM","351","Industrial chemicals",-1.015007,.0144269
"ARE","UNTD ARAB EM","352","Other chemicals",-.9677871,.0781468
"ARE","UNTD ARAB EM","353","Petroleum refineries",-.8699561,.1873891
"ARE","UNTD ARAB EM","355","Rubber products",-1.022054,.0398819
"ARE","UNTD ARAB EM","356","Plastic products",-.9511585,.1297221
"ARE","UNTD ARAB EM","362","Glass and products",-1.030165,.0527141
"ARE","UNTD ARAB EM","371","Iron and steel",-1.002074,.0769557
"ARE","UNTD ARAB EM","372","Non-ferrous metals",-1.010192,.0125488
"ARE","UNTD ARAB EM","381","Fabricated metal products",-.9159471,.1277385
"ARE","UNTD ARAB EM","382","Machinery  except electrical",-.9797509,.0530972
"ARE","UNTD ARAB EM","383","Machinery  electric",-1.627752,.7425817
"ARE","UNTD ARAB EM","384","Transport equipment",-1.001011,.0135531
"ARE","UNTD ARAB EM","385","Professional and scientific equipment",-.9614195,.0235178
"ARE","UNTD ARAB EM","390","Other manufactured products",-1.026446,.0134106
"ARG","ARGENTINA","311","Food products",-1.29244,.2480963
"ARG","ARGENTINA","313","Beverages",-4.033691,1.738258
"ARG","ARGENTINA","314","Tobacco",-.9424019,2.27102
"ARG","ARGENTINA","321","Textiles",-2.077686,.8916217
"ARG","ARGENTINA","322","Wearing apparel  except footwear",-.8469594,.6657095
"ARG","ARGENTINA","323","Leather products",-1.09888,.7531547
"ARG","ARGENTINA","324","Footwear  except rubber or plastic",-.1407983,1.242902
"ARG","ARGENTINA","331","Wood products  except furniture",-.300687,.7648716
"ARG","ARGENTINA","332","Furniture  except metal",-.9941363,.0380379
"ARG","ARGENTINA","341","Paper and products",-1.367288,.287459
"ARG","ARGENTINA","342","Printing and publishing",-1.422103,.8637366
"ARG","ARGENTINA","351","Industrial chemicals",-1.015213,.0136077
"ARG","ARGENTINA","352","Other chemicals",-.9926235,.026975
"ARG","ARGENTINA","353","Petroleum refineries",-.4936153,.7177934
"ARG","ARGENTINA","354","Miscellaneous petroleum and coal products",-1.008093,.0258879
"ARG","ARGENTINA","355","Rubber products",-1.073844,.1657749
"ARG","ARGENTINA","356","Plastic products",-.9255369,.2003524
"ARG","ARGENTINA","361","Pottery  china  earthenware",-.4263721,.9534955
"ARG","ARGENTINA","362","Glass and products",-1.018483,.0318191
"ARG","ARGENTINA","369","Other non-metallic mineral products",-.0435949,1.415587
"ARG","ARGENTINA","371","Iron and steel",-1.001769,.0879277
"ARG","ARGENTINA","372","Non-ferrous metals",-1.024286,.082843
"ARG","ARGENTINA","381","Fabricated metal products",-.9193153,.1267337
"ARG","ARGENTINA","382","Machinery  except electrical",-.943125,.0833727
"ARG","ARGENTINA","383","Machinery  electric",-2.004427,1.210912
"ARG","ARGENTINA","384","Transport equipment",-.999969,.01271
"ARG","ARGENTINA","385","Professional and scientific equipment",-.9527555,.0294152
"ARG","ARGENTINA","390","Other manufactured products",-1.105323,.1061009
"ARM","ARMENIA","311","Food products",-1.067583,.0127116
"ARM","ARMENIA","313","Beverages",-1.563627,.4870177
"ARM","ARMENIA","314","Tobacco",-1.010046,.0036567
"ARM","ARMENIA","321","Textiles",-1.299244,.2431781
"ARM","ARMENIA","322","Wearing apparel  except footwear",-.9528344,.2270323
"ARM","ARMENIA","323","Leather products",-1.048832,.3949853
"ARM","ARMENIA","324","Footwear  except rubber or plastic",-.7422757,.4449623
"ARM","ARMENIA","331","Wood products  except furniture",-.7721592,.2673319
"ARM","ARMENIA","332","Furniture  except metal",-1.000739,.0087936
"ARM","ARMENIA","341","Paper and products",-1.154341,.1133954
"ARM","ARMENIA","342","Printing and publishing",-1.118661,.2593091
"ARM","ARMENIA","351","Industrial chemicals",-1.015986,.0119287
"ARM","ARMENIA","352","Other chemicals",-1.030744,.0040288
"ARM","ARMENIA","353","Petroleum refineries",-.9450549,.087994
"ARM","ARMENIA","354","Miscellaneous petroleum and coal products",-1.00446,.016194
