ccode,year,isic,imp_tv,imp_q,imp_uv,exp_tv,exp_q,exp_uv,mir_imp_tv,mir_imp_q,mir_imp_uv,mir_exp_tv,mir_exp_q,mir_exp_uv,ntb_core_s,ntb_core_w,ave_core_sim,ave_core_wgt,tar_savg_ahs,tar_iwahs,tar_savg_mfn,tar_iwmfn,tar_hs_lines,name,isicnames,ID_elast,ID_elast_se,ccode_isic,ccode_year,ind_prod_index,n_establ,n_employees,n_female_emp,wage_bill,output,gdp_c2000,gdp_current,gdp_pcppp_c2000,gdp_pcppp_current,pop,tau_imput,tau,tauhat,inv_imp_pen,inv_imp_pen_elast,alpha,X,Y,X2,Y2,net_imp_tv
ARG,1999,311,803910.5,545e6,1.456132,6518008.0,2323e7,0.2751454,747041.8,6853e5,1.00596,6339269.0,2014e7,0.3061912,1.4798535,1.411439,1.1679699000000001,1.1467067,1.1402,1.0869,1.1440000000000001,1.1608,437,ARGENTINA,Food products,-1.29244,0.2480963,ARG-311,ARG-1999,145.0,2197.948263270853,189113.0,20386.24729425724,2362181.0,244e5,287e9,284e9,12410.04,12145.29,36648054.0,0,1.2336067,0.1893688644849286,30.351637402422284,23.483981772788123,0.005160246707778809,0.24474789521490115,7.428499370568724,-0.24601740572283867,-7.467031093184208,-5714097.5
ARG,1999,313,88765.05,79801169.0,1.112328,230849.5,3656e5,0.6314596,88598.28,66565964.0,0.9700482,217281.0,3024e5,0.68035350000000006,1.4,1.2171033,1.1743132,1.1543352,1.197,1.1923,1.2165,1.2142,28,ARGENTINA,Beverages,-4.033691,1.738258,ARG-313,ARG-1999,145.0,1568.9025394897078,44780.0,22967.99957254951,668334.1,5923962.0,287e9,284e9,12410.04,12145.29,36648054.0,0,1.3466352,0.25740839092873846,66.7375504210272,16.545032929152775,0.0012218929823668127,1.038305909813734,69.29399300864458,-1.0395761606290426,-69.3787664364786,-142084.45
ARG,1999,314,5771.101,623274.0,9.259332,31485.11,4785979.0,6.578614,9274.117,12608171.0,5.795774,30730.36,4631946.0,6.62306,1.0,1.0,1.0,1.0,1.1868,1.1759,1.2133,1.2119,7,ARGENTINA,Tobacco,-0.9424019,2.27102,ARG-314,ARG-1999,131.0,4553.016720958686,138745.6215425565,14607.44544536289,2022362.3091055595,7934393.264610408,287e9,284e9,12410.04,12145.29,36648054.0,0,1.1759,0.1495875499617314,1374.8491431029206,1458.8777283905313,0.003785893284881006,0.1409715913002806,193.81467150104595,-0.1415073229238997,-194.55122166471176,-25714.009000000002
ARG,1999,321,567298.3,1342e5,4.225712,293447.8,1038e5,2.827183,566933.2,2147e5,3.55491,283791.2,1007e5,2.833258,1.09,1.0823235,1.0946044,1.0970154,1.1771,1.1165,1.1963,1.2014,664,ARGENTINA,Textiles,-2.077686,0.8916217,ARG-321,ARG-1999,61.0,371.4031859319451,51446.0,1845.1645520760794,500250.1,3094547.0,287e9,284e9,12410.04,12145.29,36648054.0,0,1.2135154000000001,0.1759478289274286,5.454885022571017,2.6254617023799636,0.0014037853142215954,0.3655643408929135,1.9941114479227995,-0.36607823614466944,-1.9969146874347732,273850.50000000006
ARG,1999,322,223008.8,16158070.0,13.80169,52280.51,2827898.0,18.48741,207847.3,3088e5,18.08781,43757.04,3622637.0,9.086284,1.9677419,1.9246177,1.0433132,1.0588,1.2013,1.1571,1.2288000000000001,1.2274,264,ARGENTINA,Wearing apparel  except footwear,-0.8469594,0.6657095,ARG-322,ARG-1999,82.0,1421.5713269441255,51512.595824563476,3048.326044015876,150304.76704671994,761961.8811018973,287e9,284e9,12410.04,12145.29,36648054.0,0,1.2159,0.17756394440332263,3.4167345911995284,4.034118508159338,0.001405602486412061,0.15038945181347155,0.5138408421626229,-0.15060113714630083,-0.5145641147617502,170728.28999999998
ARG,1999,323,120937.9,23337221.0,5.182188,820019.4,1074e5,7.634798,102276.3,35659908.0,5.128317,784026.9,1015e5,4.504635,1.4418605,1.2919564000000001,1.0197086,1.0357603,1.1828,1.1524,1.1733,1.187,73,ARGENTINA,Leather products,-1.09888,0.7531547,ARG-323,ARG-1999,134.0,61.964949451837946,12570.0,4595.743710461279,136068.0,1217609.0,287e9,284e9,12410.04,12145.29,36648054.0,0,1.1881603,0.1583627226056956,10.068051454506818,9.162102735973734,3.429922909412871e-4,0.1740216286169468,1.7520587111124968,-0.1740813371735941,-1.7526598599330958,-699081.5
ARG,1999,324,96750.28,6568528.0,14.72937,15997.11,866740.0,18.45665,84325.5,7857623.0,13.7298,14055.46,665097.0,20.52588,1.6,1.7007013,1.191427,1.1814315,1.2882,1.1277,1.33,1.33,17,ARGENTINA,Footwear  except rubber or plastic,-0.1407983,1.242902,ARG-324,ARG-1999,134.0,503.99904859548565,20791.0,4480.1519332636735,158079.0,757378.7,287e9,284e9,12410.04,12145.29,36648054.0,0,1.3091315,0.23613479623704717,7.828180962370341,55.598547442478655,5.673152522641448e-4,0.03324737788102263,0.26026649057695417,-0.03326625033222174,-0.26041422754014426,80753.17
ARG,1999,331,170950.6,247e6,0.6922223,45362.93,84198160.0,0.5387639,136436.3,169e6,0.7300879,50815.17,76705670.0,0.5102336,1.6888889,1.6393051,1.2883815,1.2334828,1.1258,1.0709,1.1266,1.1252,74,ARGENTINA,Wood products  except furniture,-0.300687,0.7648716,ARG-331,ARG-1999,134.0,683.9396808492461,17233.0,2076.4221535735364,120060.0,684342.1,287e9,284e9,12410.04,12145.29,36648054.0,0,1.3043828,0.23335388967103826,4.003157052388233,13.313369225767104,4.7022960618863966e-4,0.07016648102351546,0.28088744335055105,-0.07019949090247718,-0.28101958708031516,125587.67000000001
ARG,1999,332,145376.2,67469178.0,2.154705,124792.6,10143342.0,12.30291,119370.7,58032028.0,1.760544,126647.7,5565030.0,3.11921,1.173913,1.1570311,1.062024,1.0343615,1.1991,1.1372,1.2185000000000001,1.2212,28,ARGENTINA,Furniture  except metal,-0.9941363,0.0380379,ARG-332,ARG-1999,168.0,49.53104304020167,15043.0,1420.1642166374147,121060.5,789394.7,287e9,284e9,12410.04,12145.29,36648054.0,0,1.1715615,0.146438321846527,5.430013303415551,5.462041073659167,4.10471999413666e-4,0.14557965145871546,0.7904994441274241,-0.14563943236771296,-0.7908240552585708,20583.600000000006
ARG,1999,341,806351.5,9477e5,0.8508842,260176.0,3534e5,0.736232,716161.5,9559e5,0.7400686,247680.6,3626e5,0.7171736,1.0608696,1.153996,1.0242151,1.0214347,1.1477,1.0956,1.1463,1.1589,153,ARGENTINA,Paper and products,-1.367288,0.287459,ARG-341,ARG-1999,157.0,811.4455125794354,27149.0,11983.316454097912,393196.6,3016508.0,287e9,284e9,12410.04,12145.29,36648054.0,0,1.1170346999999998,0.10477266283670493,3.7409343195864335,2.7360251238849704,7.408033179606208e-4,0.14325440462467265,0.5359053186923594,-0.1433606066377347,-0.5363026134478324,546175.5
